Empresa,Website,Sector,Direccion,Telefono,Email,Empleados_Est,Google_Rating,Notas
Kapper John,https://kapperjohn.nl,Peluquería,Jansstraat 55 Arnhem,+31263514277,info@kapperjohn.nl,8,4.5,Men's barbershop
Restaurant De Waagh,https://dewaagh.nl,Restaurant,Varkensmarkt 6 Doesburg,+31313477482,info@dewaagh.nl,16,4.8,Historic building
Juwelier Wassen,https://juwelierwassen.nl,Retail,Roggestraat 14 Arnhem,+31263512033,info@juwelierwassen.nl,6,4.7,Jewelry family business
Belastingadviseur Arnhem,https://belastingadviseurarnhem.nl,Asesoría,Velperweg 45 Arnhem,+31263519200,info@belastingadviseurarnhem.nl,12,4.4,Tax advisors
Restaurant Broeders,https://restaurantbroeders.nl,Restaurant,Koningstraat 16 Arnhem,+31263420420,reserveren@restaurantbroeders.nl,15,4.6,Dutch cuisine
SportClub Velp,https://sportclubvelp.nl,Gimnasio,Hoofdstraat 123 Velp,+31263617811,info@sportclubvelp.nl,18,4.3,Sports club
Grand Café Metropole Tiel,https://metropoletiel.nl,Restaurant,Plein 1 Tiel,+31344612345,info@metropoletiel.nl,22,4.4,Grand café
Apotheek Velp,https://apotheekvelp.nl,Farmacia,Hoofdstraat 67 Velp,+31263612100,info@apotheekvelp.nl,8,4.6,Community pharmacy
Fysiotherapie Arnhem Noord,https://fysioarnhemnoord.nl,Clínica,Klarendalseweg 142 Arnhem,+31263512399,info@fysioarnhemnoord.nl,9,4.7,Physio practice
Restaurant Gember,https://restaurantgember.nl,Restaurant,Vijzelstraat 25 Arnhem,+31263420008,reserveren@restaurantgember.nl,13,4.5,Asian fusion
Advocatenkantoor de Vries,https://advocatendevries.nl,Abogados,Utrechtseweg 21 Arnhem,+31263518800,info@advocatendevries.nl,10,4.4,Legal services
BasicFit Arnhem Noord,https://basic-fit.nl/arnhem-noord,Gimnasio,Klarendalseweg 200 Arnhem,+31263427733,noord@basic-fit.nl,10,4.0,Budget gym
Restaurant Brasserie Cé,https://brasseriecé.nl,Restaurant,Jansbinnensingel 20 Arnhem,+31263512044,info@brasseriecé.nl,17,4.6,French brasserie
Boekhandel Bruna,https://bruna-arnhem.nl,Retail,Ketelstraat 12 Arnhem,+31263513377,arnhem@bruna.nl,11,4.3,Book chain store
Hotel Postillion,https://postillionhotels.com/arnhem,Hotel,Europaweg 25 Arnhem,+31263557000,arnhem@postillionhotels.com,62,4.2,Business hotel chain
