Empresa,Website,Score,Categoria,Critical,High,Medium,Low,SSL,SPF,DMARC,GDPR_Risk,Sector,Direccion,Telefono,Email,Pitch
Restaurante La Barraca,https://labarraca.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Reina 29 Madrid,+34915326502,info@labarraca.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica Ruber Internacional,https://ruberinternacional.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle La Masó 38 Madrid,+34914572100,info@ruberinternacional.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Only YOU Atocha,https://onlyyouhotels.com/atocha,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Paseo Infanta Isabel 13 Madrid,+34910580628,atocha@onlyyouhotels.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Joyería Suárez,https://joyeriasuarez.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Serrano 34 Madrid,+34915762323,info@joyeriasuarez.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Asesoría Fiscal Madrid,https://asesoriafiscalmadrid.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Asesoría,Calle Alcalá 63 Madrid,+34915234567,contacto@asesoriafiscalmadrid.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Amazónico,https://amazonico.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Jorge Juan 20 Madrid,+34915195892,reservas@amazonico.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
CrossFit Chamberí,https://crossfitchamberi.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Calle Bravo Murillo 123 Madrid,+34914471234,info@crossfitchamberi.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Círculo Gran Vía,https://circulogranvia.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Gran Vía 24 Madrid,+34915214700,reservas@circulogranvia.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Farmacia Central,https://farmaciacentral-madrid.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Farmacia,Puerta del Sol 2 Madrid,+34915213456,info@farmaciacentral-madrid.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica Fisioterapia Retiro,https://fisiomadretiro.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle O'Donnell 34 Madrid,+34914332211,citas@fisiomadretiro.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Sobrino de Botín,https://botin.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Cuchilleros 17 Madrid,+34913664217,info@botin.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Librería Types,https://types.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Mejía Lequerica 3 Madrid,+34915939511,info@types.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Emperador,https://hotelemperadormadrid.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Gran Vía 53 Madrid,+34915477800,recepcion@hotelemperadormadrid.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Centro Médico Ruber,https://ruber.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Juan Bravo 39 Madrid,+34914017100,atencion@ruber.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante DiverXO,https://diverxo.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Padre Damián 23 Madrid,+34915700766,reservas@diverxo.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Despacho Uría Menéndez,https://uria.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Abogados,Calle Príncipe de Vergara 187 Madrid,+34915860400,madrid@uria.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Gimnasio Holmes Place,https://holmesplace.com/es/madrid,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Calle Serrano 61 Madrid,+34915777700,madrid@holmesplace.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Lakasa,https://lakasa.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Plaza Descubridor Diego Ordás 1 Madrid,+34915333715,info@lakasa.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Óptica Universitaria,https://opticauniversitaria.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Montera 35 Madrid,+34915229845,montera@opticauniversitaria.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica Baviera Madrid,https://clinicabaviera.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Castelló 12 Madrid,+34917819494,madrid@clinicabaviera.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel NH Collection Madrid Suecia,https://nh-hotels.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Calle Marqués de Casa Riera 4 Madrid,+34914571500,nhsuecia@nh-hotels.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Peluquería Marco Aldany,https://marcoaldany.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Peluquería,Calle Fuencarral 89 Madrid,+34915218976,fuencarral@marcoaldany.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Ten Con Ten,https://tenconten.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Ayala 6 Madrid,+34915755254,reservas@tenconten.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Joyería Carrera y Carrera,https://carreraycarrera.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Serrano 26 Madrid,+34915768121,info@carreraycarrera.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Asesoría Montero y Asociados,https://asesoriamontero.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Asesoría,Calle Alcalá 456 Madrid,+34915432190,contacto@asesoriamontero.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante La Terraza del Casino,https://casinodemadrid.es/restaurantes/la-terraza,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Alcalá 15 Madrid,+34915321275,laterraza@casinodemadrid.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
CrossFit Madrid Centro,https://crossfitmadridcentro.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Calle Embajadores 45 Madrid,+34914678234,info@crossfitmadridcentro.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Palacio de los Duques,https://palaciodelosduques.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Cuesta de Santo Domingo 5 Madrid,+34914548800,info@palaciodelosduques.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Farmacia Internacional,https://farmaciainternacional.net,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Farmacia,Gran Vía 1 Madrid,+34915213344,info@farmaciainternacional.net,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica Menorca,https://clinicamenorca.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Menorca 23 Madrid,+34914137130,info@clinicamenorca.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Coque,https://restaurantecoque.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Marqués de Riscal 11 Madrid,+34916041275,reservas@restaurantecoque.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Librería Antonio Machado,https://libreriaantoniomachado.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Fernando VI 17 Madrid,+34914415528,info@libreriaantoniomachado.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Único Madrid,https://unicohotelmadrid.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Calle Claudio Coello 67 Madrid,+34917810173,reservas@unicohotelmadrid.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Centro Médico ABC,https://centromedicoabc.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Maldonado 61 Madrid,+34915770550,info@centromedicoabc.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Ramón Freixa,https://ramonfreixamadrid.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Claudio Coello 67 Madrid,+34917817262,reservas@ramonfreixamadrid.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Despacho Cuatrecasas,https://cuatrecasas.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Abogados,Paseo de la Castellana 50 Madrid,+34915244040,madrid@cuatrecasas.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Gimnasio David Lloyd,https://davidlloyd.es/madrid,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Calle Serrano 63 Madrid,+34917817070,madrid@davidlloyd.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Atrio,https://restauranteatrio.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Fuencarral 102 Madrid,+34915222021,madrid@restauranteatrio.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Óptica Alain Afflelou,https://alainafflelou.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Alcalá 123 Madrid,+34915763344,alcala@alainafflelou.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica La Luz,https://clinicalalu z.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Maestro Ángel Llorca 8 Madrid,+34914530200,info@clinicaluz.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Villa Magna,https://rosewoodhotels.com/villa-magna-madrid,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Paseo de la Castellana 22 Madrid,+34915876539,madrid@rosewoodhotels.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Peluquería Cheska,https://pelucheska.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Peluquería,Calle Lagasca 114 Madrid,+34915644477,info@pelucheska.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Sacha,https://restaurantesacha.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Juan Hurtado de Mendoza 11 Madrid,+34914571952,reservas@restaurantesacha.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Joyería Tous,https://tous.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Serrano 45 Madrid,+34915764433,serrano@tous.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Asesoría Auren,https://auren.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Asesoría,Calle Balmes 52 Madrid,+34914568900,madrid@auren.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante El Club Allard,https://elcluballard.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Ferraz 2 Madrid,+34915594952,reservas@elcluballard.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
CrossFit Salamanca,https://crossfitsalamanca.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Calle Velázquez 34 Madrid,+34915768899,info@crossfitsalamanca.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Fenix Gran Meliá,https://melia.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Calle Hermosilla 2 Madrid,+34914318700,fenix@melia.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Farmacia Coliseum,https://farmaciacoliseum.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Farmacia,Gran Vía 78 Madrid,+34915419123,info@farmaciacoliseum.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica Universidad Navarra,https://cun.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Marquesado de Sta Marta 1 Madrid,+34917567800,infomadrid@cun.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Punto MX,https://puntomx.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle General Pardiñas 40 Madrid,+34914024226,reservas@puntomx.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Librería Cervantes,https://libreriacervantes.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Atocha 87 Madrid,+34914292685,info@libreriacervantes.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Wellington,https://hotel-wellington.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Calle Velázquez 8 Madrid,+34915756400,recepcion@hotel-wellington.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Centro Médico Sanitas La Moraleja,https://sanitas.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Alcalá 435 Madrid,+34915857700,info@sanitas.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Casa Lucio,https://casalucio.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Cava Baja 35 Madrid,+34913653252,reservas@casalucio.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Despacho Clifford Chance,https://cliffordchance.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Abogados,Paseo de la Castellana 110 Madrid,+34915824040,madrid@cliffordchance.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Gimnasio Víctor Ullate,https://victorullate.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Calle Larra 12 Madrid,+34914471890,info@victorullate.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Kabuki Wellington,https://kabukiwellington.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Velázquez 6 Madrid,+34914292881,reservas@kabukiwellington.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Óptica Soloptical,https://soloptical.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Gran Vía 56 Madrid,+34915478234,granvia@soloptical.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica Cemtro,https://cemtro.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Avenida Ventisquero de la Condesa 42 Madrid,+34917356200,info@cemtro.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Iberostar Las Letras,https://iberostar.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Gran Vía 11 Madrid,+34915238980,lasletras@iberostar.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Peluquería Rossano Ferretti,https://rossanoferretti.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Peluquería,Calle José Ortega y Gasset 17 Madrid,+34915756677,madrid@rossanoferretti.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Zalacaín,https://zalacain.eu,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Álvarez de Baena 4 Madrid,+34915614840,reservas@zalacain.eu,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Joyería Rabat,https://rabat.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Gran Vía 1 Madrid,+34915215855,info@rabat.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Asesoría Grant Thornton,https://grantthornton.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Asesoría,Paseo de la Castellana 81 Madrid,+34914555200,madrid@es.gt.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Viridiana,https://viridiana.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle Juan de Mena 14 Madrid,+34915234478,reservas@viridiana.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
CrossFit Arganzuela,https://crossfitarganzuela.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Gimnasio,Paseo de las Acacias 34 Madrid,+34914732233,info@crossfitarganzuela.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Westin Palace,https://westinpalacemadrid.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Plaza de las Cortes 7 Madrid,+34913607767,palace@westin.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Farmacia Gran Vía,https://farmaciagrvia.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Farmacia,Gran Vía 45 Madrid,+34915218877,info@farmaciagrvia.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Clínica IMQ,https://imq.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Clínica,Calle Serrano 199 Madrid,+34914570990,madrid@imq.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Restaurante Sandó,https://sando.es,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Restaurante,Calle María de Molina 25 Madrid,+34913451013,reservas@sando.es,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Librería La Central,https://lacentral.com,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Retail,Calle Postigo de San Martín 8 Madrid,+34915217464,madrid@lacentral.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
Hotel Four Seasons,https://fourseasons.com/madrid,0,⚪ ERROR,0,0,0,0,ERROR,ERROR,ERROR,DESCONOCIDO,Hotel,Calle Sevilla 3 Madrid,+34912992828,madrid@fourseasons.com,"Error al escanear: Policy acknowledgment required. Set policyAcknowledged: true to proceed."
