Empresa,Website,Score,Categoria,Critical,High,Medium,Low,Problemas_Encontrados,GDPR_Risk,Sector,Direccion,Telefono,Email,Pitch
"Despacho Cuatrecasas","https://cuatrecasas.com",10,"🟢 VERDE",0,0,1,0,"Missing CSP; ","BAJO","Abogados","Paseo de la Castellana 50 Madrid","+34915244040","madrid@cuatrecasas.com","1 problemas detectados: Missing CSP;  Recomendamos auditoría completa."
"Gimnasio David Lloyd","https://davidlloyd.es/madrid",0,"🟢 VERDE",0,0,0,0,"","BAJO","Gimnasio","Calle Serrano 63 Madrid","+34917817070","madrid@davidlloyd.es","Web bien configurada. Mantenimiento preventivo recomendado."
"Restaurante Atrio","https://restauranteatrio.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle Fuencarral 102 Madrid","+34915222021","madrid@restauranteatrio.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Óptica Alain Afflelou","https://alainafflelou.es",0,"🟢 VERDE",0,0,0,0,"","BAJO","Retail","Calle Alcalá 123 Madrid","+34915763344","alcala@alainafflelou.es","Web bien configurada. Mantenimiento preventivo recomendado."
"Clínica La Luz","https://clinicalalu z.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Clínica","Calle Maestro Ángel Llorca 8 Madrid","+34914530200","info@clinicaluz.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Villa Magna","https://rosewoodhotels.com/villa-magna-madrid",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Paseo de la Castellana 22 Madrid","+34915876539","madrid@rosewoodhotels.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Peluquería Cheska","https://pelucheska.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Peluquería","Calle Lagasca 114 Madrid","+34915644477","info@pelucheska.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Restaurante Sacha","https://restaurantesacha.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Juan Hurtado de Mendoza 11 Madrid","+34914571952","reservas@restaurantesacha.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Joyería Tous","https://tous.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Retail","Calle Serrano 45 Madrid","+34915764433","serrano@tous.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Asesoría Auren","https://auren.com",10,"🟢 VERDE",0,0,1,0,"Missing CSP; ","BAJO","Asesoría","Calle Balmes 52 Madrid","+34914568900","madrid@auren.com","1 problemas detectados: Missing CSP;  Recomendamos auditoría completa."
"Restaurante El Club Allard","https://elcluballard.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle Ferraz 2 Madrid","+34915594952","reservas@elcluballard.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"CrossFit Salamanca","https://crossfitsalamanca.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Gimnasio","Calle Velázquez 34 Madrid","+34915768899","info@crossfitsalamanca.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Fenix Gran Meliá","https://melia.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Calle Hermosilla 2 Madrid","+34914318700","fenix@melia.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Farmacia Coliseum","https://farmaciacoliseum.es",10,"🟢 VERDE",0,0,1,0,"Missing CSP; ","BAJO","Farmacia","Gran Vía 78 Madrid","+34915419123","info@farmaciacoliseum.es","1 problemas detectados: Missing CSP;  Recomendamos auditoría completa."
"Clínica Universidad Navarra","https://cun.es",0,"🟢 VERDE",0,0,0,0,"","BAJO","Clínica","Calle Marquesado de Sta Marta 1 Madrid","+34917567800","infomadrid@cun.es","Web bien configurada. Mantenimiento preventivo recomendado."
"Restaurante Punto MX","https://puntomx.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle General Pardiñas 40 Madrid","+34914024226","reservas@puntomx.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Librería Cervantes","https://libreriacervantes.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Retail","Calle Atocha 87 Madrid","+34914292685","info@libreriacervantes.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Wellington","https://hotel-wellington.com",10,"🟢 VERDE",0,0,1,0,"Missing CSP; ","BAJO","Hotel","Calle Velázquez 8 Madrid","+34915756400","recepcion@hotel-wellington.com","1 problemas detectados: Missing CSP;  Recomendamos auditoría completa."
"Centro Médico Sanitas La Moraleja","https://sanitas.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Clínica","Calle Alcalá 435 Madrid","+34915857700","info@sanitas.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Restaurante Casa Lucio","https://casalucio.es",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Restaurante","Calle Cava Baja 35 Madrid","+34913653252","reservas@casalucio.es","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Despacho Clifford Chance","https://cliffordchance.com",0,"🟢 VERDE",0,0,0,0,"","BAJO","Abogados","Paseo de la Castellana 110 Madrid","+34915824040","madrid@cliffordchance.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Gimnasio Víctor Ullate","https://victorullate.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Gimnasio","Calle Larra 12 Madrid","+34914471890","info@victorullate.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Restaurante Kabuki Wellington","https://kabukiwellington.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle Velázquez 6 Madrid","+34914292881","reservas@kabukiwellington.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Óptica Soloptical","https://soloptical.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Retail","Calle Gran Vía 56 Madrid","+34915478234","granvia@soloptical.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Clínica Cemtro","https://cemtro.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Clínica","Avenida Ventisquero de la Condesa 42 Madrid","+34917356200","info@cemtro.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Iberostar Las Letras","https://iberostar.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Gran Vía 11 Madrid","+34915238980","lasletras@iberostar.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Peluquería Rossano Ferretti","https://rossanoferretti.com",30,"🟡 AMARILLO",0,0,3,0,"Missing HSTS; Missing CSP; Missing X-Frame-Options; ","MEDIO","Peluquería","Calle José Ortega y Gasset 17 Madrid","+34915756677","madrid@rossanoferretti.com","3 problemas detectados: Missing HSTS; Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Restaurante Zalacaín","https://zalacain.eu",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle Álvarez de Baena 4 Madrid","+34915614840","reservas@zalacain.eu","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Joyería Rabat","https://rabat.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Retail","Calle Gran Vía 1 Madrid","+34915215855","info@rabat.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Asesoría Grant Thornton","https://grantthornton.es",0,"🟢 VERDE",0,0,0,0,"","BAJO","Asesoría","Paseo de la Castellana 81 Madrid","+34914555200","madrid@es.gt.com","Web bien configurada. Mantenimiento preventivo recomendado."
"Restaurante Viridiana","https://viridiana.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle Juan de Mena 14 Madrid","+34915234478","reservas@viridiana.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"CrossFit Arganzuela","https://crossfitarganzuela.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Gimnasio","Paseo de las Acacias 34 Madrid","+34914732233","info@crossfitarganzuela.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Westin Palace","https://westinpalacemadrid.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Hotel","Plaza de las Cortes 7 Madrid","+34913607767","palace@westin.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Farmacia Gran Vía","https://farmaciagrvia.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Farmacia","Gran Vía 45 Madrid","+34915218877","info@farmaciagrvia.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Clínica IMQ","https://imq.es",20,"🟢 VERDE",0,0,2,0,"Missing CSP; Missing X-Frame-Options; ","BAJO","Clínica","Calle Serrano 199 Madrid","+34914570990","madrid@imq.es","2 problemas detectados: Missing CSP; Missing X-Frame-Options;  Recomendamos auditoría completa."
"Restaurante Sandó","https://sando.es",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Restaurante","Calle María de Molina 25 Madrid","+34913451013","reservas@sando.es","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Librería La Central","https://lacentral.com",40,"🟡 AMARILLO",1,0,0,0,"Website Unreachable; ","MEDIO","Retail","Calle Postigo de San Martín 8 Madrid","+34915217464","madrid@lacentral.com","CRÍTICO: 1 problemas graves detectados. Website Unreachable;  Riesgo GDPR alto. Sanción hasta €20.000."
"Hotel Four Seasons","https://fourseasons.com/madrid",10,"🟢 VERDE",0,0,1,0,"Missing X-Frame-Options; ","BAJO","Hotel","Calle Sevilla 3 Madrid","+34912992828","madrid@fourseasons.com","1 problemas detectados: Missing X-Frame-Options;  Recomendamos auditoría completa."
