Empresa,Website,Sector,Direccion,Telefono,Email,Empleados_Est,Google_Rating,Notas
Hotel Único Madrid,https://unicohotelmadrid.com,Hotel,Calle Claudio Coello 67 Madrid,+34917810173,reservas@unicohotelmadrid.com,52,4.8,Custom CMS - Boutique luxury
Centro Médico ABC,https://centromedicoabc.com,Clínica,Calle Maldonado 61 Madrid,+34915770550,info@centromedicoabc.com,95,4.4,Joomla - Missing HSTS
Restaurante Ramón Freixa,https://ramonfreixamadrid.com,Restaurante,Calle Claudio Coello 67 Madrid,+34917817262,reservas@ramonfreixamadrid.com,28,4.8,Custom Vue.js - 2 estrellas Michelin
Despacho Cuatrecasas,https://cuatrecasas.com,Abogados,Paseo de la Castellana 50 Madrid,+34915244040,madrid@cuatrecasas.com,850,4.5,Enterprise CMS - Firma global
Gimnasio David Lloyd,https://davidlloyd.es/madrid,Gimnasio,Calle Serrano 63 Madrid,+34917817070,madrid@davidlloyd.es,145,4.3,React custom - Premium club
Restaurante Atrio,https://restauranteatrio.com,Restaurante,Calle Fuencarral 102 Madrid,+34915222021,madrid@restauranteatrio.com,35,4.7,WordPress - Alta cocina
Óptica Alain Afflelou,https://alainafflelou.es,Retail,Calle Alcalá 123 Madrid,+34915763344,alcala@alainafflelou.es,16,4.4,Magento - Cadena francesa
Clínica La Luz,https://clinicalalu z.es,Clínica,Calle Maestro Ángel Llorca 8 Madrid,+34914530200,info@clinicaluz.es,420,4.5,Drupal - Hospital materno
Hotel Villa Magna,https://rosewoodhotels.com/villa-magna-madrid,Hotel,Paseo de la Castellana 22 Madrid,+34915876539,madrid@rosewoodhotels.com,185,4.8,Enterprise CMS - 5 estrellas
Peluquería Cheska,https://pelucheska.com,Peluquería,Calle Lagasca 114 Madrid,+34915644477,info@pelucheska.com,12,4.6,WordPress - Alta peluquería
Restaurante Sacha,https://restaurantesacha.com,Restaurante,Calle Juan Hurtado de Mendoza 11 Madrid,+34914571952,reservas@restaurantesacha.com,24,4.7,Custom PHP - Cocina de autor
Joyería Tous,https://tous.com,Retail,Calle Serrano 45 Madrid,+34915764433,serrano@tous.com,28,4.6,Magento - Marca española
Asesoría Auren,https://auren.com,Asesoría,Calle Balmes 52 Madrid,+34914568900,madrid@auren.com,180,4.4,Drupal - Auditoría internacional
Restaurante El Club Allard,https://elcluballard.com,Restaurante,Calle Ferraz 2 Madrid,+34915594952,reservas@elcluballard.com,32,4.8,WordPress - 2 estrellas Michelin
CrossFit Salamanca,https://crossfitsalamanca.es,Gimnasio,Calle Velázquez 34 Madrid,+34915768899,info@crossfitsalamanca.es,9,4.7,WordPress - Missing CSP
Hotel Fenix Gran Meliá,https://melia.com,Hotel,Calle Hermosilla 2 Madrid,+34914318700,fenix@melia.com,215,4.6,Enterprise Sitecore - Gran Lujo
Farmacia Coliseum,https://farmaciacoliseum.es,Farmacia,Gran Vía 78 Madrid,+34915419123,info@farmaciacoliseum.es,11,4.5,PrestaShop - Missing CAA
Clínica Universidad Navarra,https://cun.es,Clínica,Calle Marquesado de Sta Marta 1 Madrid,+34917567800,infomadrid@cun.es,580,4.7,Custom enterprise - Hospital top
Restaurante Punto MX,https://puntomx.es,Restaurante,Calle General Pardiñas 40 Madrid,+34914024226,reservas@puntomx.es,26,4.8,WordPress - Primera estrella Michelin mexicana España
Librería Cervantes,https://libreriacervantes.com,Retail,Calle Atocha 87 Madrid,+34914292685,info@libreriacervantes.com,7,4.6,WooCommerce - Libros técnicos
Hotel Wellington,https://hotel-wellington.com,Hotel,Calle Velázquez 8 Madrid,+34915756400,recepcion@hotel-wellington.com,268,4.5,Custom CMS - Histórico 5*
Centro Médico Sanitas La Moraleja,https://sanitas.es,Clínica,Calle Alcalá 435 Madrid,+34915857700,info@sanitas.es,650,4.3,SharePoint - Cadena nacional
Restaurante Casa Lucio,https://casalucio.es,Restaurante,Calle Cava Baja 35 Madrid,+34913653252,reservas@casalucio.es,45,4.6,WordPress - Huevos estrellados famosos
Despacho Clifford Chance,https://cliffordchance.com,Abogados,Paseo de la Castellana 110 Madrid,+34915824040,madrid@cliffordchance.com,420,4.6,Enterprise CMS - Magic Circle
Gimnasio Víctor Ullate,https://victorullate.com,Gimnasio,Calle Larra 12 Madrid,+34914471890,info@victorullate.com,35,4.8,WordPress - Danza y ballet
Restaurante Kabuki Wellington,https://kabukiwellington.com,Restaurante,Calle Velázquez 6 Madrid,+34914292881,reservas@kabukiwellington.com,38,4.7,Custom - 1 estrella Michelin japonés
Óptica Soloptical,https://soloptical.es,Retail,Calle Gran Vía 56 Madrid,+34915478234,granvia@soloptical.es,14,4.4,Magento - Cadena nacional
Clínica Cemtro,https://cemtro.es,Clínica,Avenida Ventisquero de la Condesa 42 Madrid,+34917356200,info@cemtro.es,380,4.6,Drupal - Traumatología deportiva
Hotel Iberostar Las Letras,https://iberostar.com,Hotel,Gran Vía 11 Madrid,+34915238980,lasletras@iberostar.com,112,4.5,Enterprise CMS - Cadena Iberostar
Peluquería Rossano Ferretti,https://rossanoferretti.com,Peluquería,Calle José Ortega y Gasset 17 Madrid,+34915756677,madrid@rossanoferretti.com,22,4.9,Custom - Luxury hair spa
Restaurante Zalacaín,https://zalacain.eu,Restaurante,Calle Álvarez de Baena 4 Madrid,+34915614840,reservas@zalacain.eu,32,4.7,WordPress - Primera 3 estrellas Michelin España
Joyería Rabat,https://rabat.es,Retail,Calle Gran Vía 1 Madrid,+34915215855,info@rabat.es,55,4.7,Shopify Plus - Joyería centenaria
Asesoría Grant Thornton,https://grantthornton.es,Asesoría,Paseo de la Castellana 81 Madrid,+34914555200,madrid@es.gt.com,310,4.5,Drupal - Auditoría global
Restaurante Viridiana,https://viridiana.es,Restaurante,Calle Juan de Mena 14 Madrid,+34915234478,reservas@viridiana.es,18,4.6,Custom PHP - Cocina de mercado
CrossFit Arganzuela,https://crossfitarganzuela.com,Gimnasio,Paseo de las Acacias 34 Madrid,+34914732233,info@crossfitarganzuela.com,11,4.6,WordPress - Box oficial
Hotel Westin Palace,https://westinpalacemadrid.com,Hotel,Plaza de las Cortes 7 Madrid,+34913607767,palace@westin.com,467,4.7,Marriott enterprise CMS - Palace histórico
Farmacia Gran Vía,https://farmaciagrvia.com,Farmacia,Gran Vía 45 Madrid,+34915218877,info@farmaciagrvia.com,13,4.5,WooCommerce - Parafarmacia online
Clínica IMQ,https://imq.es,Clínica,Calle Serrano 199 Madrid,+34914570990,madrid@imq.es,145,4.4,SharePoint - Mutua médica
Restaurante Sandó,https://sando.es,Restaurante,Calle María de Molina 25 Madrid,+34913451013,reservas@sando.es,34,4.7,WordPress - Cocina vasca contemporánea
Librería La Central,https://lacentral.com,Retail,Calle Postigo de San Martín 8 Madrid,+34915217464,madrid@lacentral.com,18,4.6,Custom - Cadena catalana
Hotel Four Seasons,https://fourseasons.com/madrid,Hotel,Calle Sevilla 3 Madrid,+34912992828,madrid@fourseasons.com,195,4.9,Enterprise luxury CMS - 5* GL
